<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200205,153000,3124.2300000,3129.5100000,3124.0500000,3129.4900000,1335705027
20200205,154500,3129.3500000,3131.9600000,3127.4700000,3129.8000000,1433034681
20200205,160000,3129.8300000,3129.8300000,3125.7700000,3125.8100000,1250529445
20200205,161500,3125.8100000,3131.0100000,3123.3000000,3130.4300000,2045547872
20200205,163000,3130.2900000,3133.6500000,3126.8700000,3129.7200000,2138600315
20200205,164500,3129.8400000,3131.6300000,3127.3400000,3128.9800000,1987568632
20200205,170000,3128.7800000,3136.2500000,3128.4200000,3134.6000000,2411127047
20200205,171500,3134.6100000,3134.8700000,3128.0900000,3128.7300000,1666536612
20200205,173000,3128.7400000,3131.3000000,3127.0500000,3129.0200000,1624520668
20200205,174500,3129.0700000,3133.1400000,3123.4700000,3124.5700000,2505748321
20200205,180000,3124.3400000,3130.6200000,3124.3200000,3129.8900000,2385037321
20200205,181500,3130.0000000,3132.3700000,3125.4300000,3126.7300000,2644855556
20200205,183000,3126.6800000,3127.7700000,3115.1300000,3115.1300000,3780088696
20200205,184500,3114.6500000,3119.7500000,3113.0600000,3115.7300000,2289638191
20200205,190000,3114.2500000,3114.2500000,3114.2500000,3114.2500000,3370050589
20200206,101500,3132.8400000,3145.1500000,3132.8400000,3138.9900000,5576825058
20200206,103000,3139.1600000,3141.4500000,3137.3900000,3140.7900000,2375853447
20200206,104500,3140.8100000,3140.8100000,3134.6900000,3136.7300000,2135750115
20200206,110000,3136.7000000,3137.1000000,3132.7300000,3133.7400000,2032879076
20200206,111500,3133.7300000,3138.9700000,3130.1200000,3130.1200000,3217616975
20200206,113000,3130.1000000,3130.1000000,3124.8500000,3125.1100000,2073701920
20200206,114500,3125.0700000,3129.1400000,3124.6200000,3128.2100000,1720724326
20200206,120000,3128.1400000,3130.4100000,3127.1900000,3128.9100000,1666869190
20200206,121500,3128.6800000,3128.6800000,3121.3500000,3121.4100000,2131616979
20200206,123000,3121.5300000,3126.6300000,3120.1800000,3120.3300000,2159044506
20200206,124500,3120.3100000,3123.4900000,3119.4500000,3121.7000000,1798410669
20200206,130000,3121.6900000,3121.7300000,3115.7200000,3119.1300000,1841967639
20200206,131500,3119.2000000,3119.2100000,3115.5000000,3118.3900000,983387832
20200206,133000,3118.2400000,3118.6900000,3113.5000000,3117.4000000,1584856949
20200206,134500,3117.3900000,3117.9300000,3114.4200000,3114.4600000,1223584012
20200206,140000,3114.6000000,3118.4800000,3105.4800000,3107.4800000,2110130133
20200206,141500,3107.4400000,3107.6900000,3101.9900000,3103.4900000,1812772032
20200206,143000,3103.6000000,3112.2000000,3103.1100000,3112.2000000,1462961812
20200206,144500,3112.1600000,3114.6600000,3110.3500000,3111.3800000,1242928562
20200206,150000,3111.4200000,3113.0300000,3108.7400000,3110.2600000,1113068846
20200206,151500,3110.3000000,3112.7600000,3107.2700000,3108.2300000,1010390808
20200206,153000,3108.2400000,3109.9500000,3105.0000000,3105.1800000,746257195
