<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200206,180000,29302.3493604,29344.9507988,29248.4575408,29337.1005338,818
20200206,181500,29334.9704618,29357.0312067,29314.8997842,29328.9802596,805
20200206,183000,29333.4104092,29333.8904254,29247.9175226,29282.1086770,789
20200206,184500,29280.7086298,29311.2896623,29270.4882847,29283.9887405,827
20200206,190000,29283.7187314,29349.1709413,29276.4584862,29332.1203656,842
20200206,191500,29333.5204129,29391.6623760,29304.7794425,29354.8511331,864
20200206,193000,29353.6510926,29389.2122933,29334.3604412,29374.7518050,889
20200206,194500,29375.0018135,29389.3122966,29354.5611233,29354.5611233,889
20200206,200000,29351.6310244,29355.8511669,29313.4397349,29315.3597997,900
20200206,201500,29314.1397585,29355.5711574,29310.9596511,29348.7009254,899
20200206,203000,29349.2609443,29407.7929206,29347.7208923,29407.3029041,900
20200206,204500,29407.5629128,29409.0429628,29384.9121481,29391.0523554,899
20200206,210000,29390.7423449,29398.0525917,29358.1712452,29395.4925053,900
20200206,211500,29395.4625043,29407.4929105,29371.9317098,29375.6218344,900
20200206,213000,29375.7418384,29381.8720454,29363.2514167,29367.0715457,900
20200206,214500,29366.7415346,29368.4915936,29346.3808471,29356.7511972,900
20200206,220000,29356.6811949,29385.8321791,29354.9511365,29384.0821200,900
20200206,221500,29384.0121177,29408.3429392,29376.1618526,29403.9527909,900
20200206,223000,29404.1127964,29407.0728963,29367.9915768,29390.9423517,895
20200206,224500,29390.8623490,29402.4327396,29383.1420883,29388.5022693,900
20200206,230000,29388.3522642,29399.1326282,29376.2318550,29376.3318584,900
20200206,231500,29375.9218445,29393.3424327,29360.2713161,29367.3315545,899
20200206,233000,29367.2815528,29367.2815528,29325.6801482,29350.1609747,900
20200206,234500,29350.0409707,29391.2623625,29350.0009693,29381.2320238,900
20200207,000000,29381.6120366,29392.4424023,29360.0713093,29382.2520582,883
20200207,001500,29381.3020262,29381.3020262,29379.5019654,29380.7620079,898
20200207,003000,29380.7620079,29380.7620079,29380.7620079,29380.7620079,301
20200207,174500,29287.9088729,29287.9088729,29170.1548970,29190.9355987,477
20200207,180000,29189.7055571,29227.0168169,29164.2046961,29166.8547856,826
20200207,181500,29171.4749416,29198.7858637,29141.0339138,29190.7755933,773
20200207,183000,29190.7055909,29230.3469293,29173.4250074,29226.9468145,878
20200207,184500,29226.9468145,29241.3573011,29189.0555352,29222.9566798,819
20200207,190000,29223.3766940,29228.0568520,29183.6853539,29184.4053782,864
20200207,191500,29183.8853606,29199.6758938,29159.5445388,29182.3953103,868
20200207,193000,29182.9153279,29229.0568858,29176.1250986,29222.4766636,894
20200207,194500,29222.5466660,29241.1472940,29197.2658124,29198.2758465,889
20200207,200000,29198.6058576,29204.9060704,29170.5149092,29201.3759512,900
20200207,201500,29200.5659238,29215.9164421,29192.0056348,29214.6964009,900
20200207,203000,29215.1664168,29222.5966677,29195.1957425,29205.2760829,900
20200207,204500,29205.2860832,29205.3560856,29172.6049798,29182.7453221,900
20200207,210000,29182.7753231,29192.7156588,29172.5849791,29188.7355244,900
20200207,211500,29188.7255240,29188.7955264,29169.1948646,29169.8148855,900
20200207,213000,29169.8348862,29185.9354298,29160.9545864,29185.3254092,900
20200207,214500,29185.7354231,29191.9256321,29145.1640532,29154.4543669,868
20200207,220000,29154.3043619,29155.3243963,29116.0030687,29116.1630741,891
20200207,221500,29115.9930683,29115.9930683,29057.9611089,29064.5813325,896
20200207,223000,29065.4513618,29095.6823826,29060.8212055,29090.2221982,900
20200207,224500,29090.1921972,29122.1832773,29088.8221509,29119.2131770,898
20200207,230000,29118.4731521,29118.7431612,29078.7018092,29109.4028458,900
20200207,231500,29109.5828519,29127.2934499,29092.5322762,29104.2426716,900
20200207,233000,29103.7826560,29113.2129745,29088.1521283,29106.3727435,900
20200207,234500,29106.3627432,29132.0836116,29102.5126132,29128.7634995,900
20200208,000000,29129.0635096,29134.9337078,29072.3315941,29102.4126098,885
20200208,001500,29103.5426479,29103.8826594,29102.5926159,29103.4926463,896
20200208,003000,29103.4926463,29103.4926463,29103.4926463,29103.4926463,301
20200210,174500,28996.6390385,29117.9631348,28996.6390385,29113.6929907,794
20200210,180000,29113.2029741,29139.5538638,29082.0619227,29138.9938449,883
20200210,181500,29140.8939091,29180.9752624,29140.8939091,29159.5545391,886
20200210,183000,29159.4745364,29191.6356223,29158.7345114,29186.1054356,894
20200210,184500,29185.9754312,29224.6467369,29182.0252978,29206.9761403,892
20200210,190000,29206.9661399,29223.9467132,29178.3451736,29179.0551975,897
20200210,191500,29178.6751847,29198.4558526,29161.4346026,29171.2749348,900
20200210,193000,29170.4249061,29194.5557209,29167.2647994,29185.3554103,900
20200210,194500,29186.7654579,29195.8057631,29163.4446705,29176.3651067,897
20200210,200000,29176.5251121,29206.8361355,29163.1846617,29167.2647994,900
20200210,201500,29167.5248082,29167.5548092,29142.8839763,29156.0544209,900
20200210,203000,29155.7244098,29156.1744250,29136.7337686,29152.0442855,900
20200210,204500,29151.8942805,29156.1144230,29130.3935545,29146.3540934,900
20200210,210000,29146.3540934,29154.1943581,29131.1735809,29140.4338935,900
20200210,211500,29140.5538976,29159.8145479,29140.5538976,29156.4744351,900
20200210,213000,29156.6644415,29169.1348626,29153.2743271,29154.8943818,900
20200210,214500,29155.2343933,29171.0749281,29154.7743777,29162.3446333,900
20200210,220000,29162.4446367,29168.1748302,29149.9142136,29154.7343764,900
20200210,221500,29154.3743642,29154.6343730,29136.2137510,29149.2941927,900
20200210,223000,29149.9242140,29174.7650527,29149.9242140,29172.7049831,900
20200210,224500,29172.8849892,29178.7951888,29163.9446873,29169.8848879,900
20200210,230000,29169.8548869,29205.8961038,29169.8248859,29204.7660656,899
20200210,231500,29204.9460717,29233.4770350,29202.4259866,29222.8766771,900
20200210,233000,29223.2966913,29243.1773626,29216.7264695,29239.1672272,900
20200210,234500,29238.7972147,29240.6472771,29219.6865694,29231.0669537,899
20200211,000000,29231.1069550,29268.5482192,29220.2365880,29267.5681861,874
20200211,001500,29279.0585740,29279.0585740,29277.5285224,29277.8085318,896
20200211,003000,29277.8085318,29277.8085318,29277.8085318,29277.8085318,301
20200211,174500,29391.7023773,29407.4929105,29311.2196599,29361.6813637,729
20200211,180000,29361.3213515,29383.1120873,29347.3508799,29347.3508799,869
20200211,181500,29346.4508495,29393.6424428,29346.4508495,29392.4524027,860
20200211,183000,29392.6824104,29407.4329085,29379.6219694,29403.2927687,894
20200211,184500,29402.7527504,29416.3832106,29384.3121278,29399.4626393,886
20200211,190000,29400.3626697,29404.5828122,29356.9712047,29363.8214360,893
20200211,191500,29363.6214292,29374.0717821,29327.6702154,29328.7902532,893
20200211,193000,29328.5702457,29341.2906752,29307.7195417,29319.1199267,898
20200211,194500,29319.3499344,29320.0199571,29260.9679632,29302.7693746,881
20200211,200000,29302.9893820,29314.7897805,29285.5287925,29294.6691011,900
20200211,201500,29294.3090890,29306.5795033,29280.5186233,29284.3987543,897
20200211,203000,29283.7887337,29317.4098689,29283.7487324,29312.1696920,900
