<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200203,173000,7377.9500000,7383.0500000,7373.9400000,7374.5500000,277201215
20200203,174500,7374.3300000,7384.1900000,7369.3600000,7384.1900000,340353179
20200203,180000,7383.6800000,7408.8900000,7383.6800000,7405.0600000,976981216
20200203,181500,7405.2600000,7415.7200000,7393.4300000,7396.2700000,851061327
20200203,183000,7396.4300000,7401.7700000,7386.9300000,7388.5000000,405162633
20200203,184500,7388.3700000,7391.7100000,7379.6800000,7383.4000000,382945858
20200203,190000,7367.5200000,7367.5200000,7367.5200000,7367.5200000,1117371857
20200204,101500,7394.6600000,7433.8100000,7394.6600000,7421.1400000,1041593825
20200204,103000,7421.4200000,7429.7000000,7421.2800000,7428.5100000,321128560
20200204,104500,7428.7600000,7436.9000000,7426.8000000,7432.4200000,253665702
20200204,110000,7430.2900000,7435.0600000,7423.5700000,7424.5500000,470475632
20200204,111500,7425.5900000,7425.5900000,7414.8700000,7418.2000000,700368586
20200204,113000,7417.3500000,7434.6700000,7415.8900000,7428.4600000,534354292
20200204,114500,7430.7400000,7438.7700000,7425.4500000,7425.7900000,922335585
20200204,120000,7429.8800000,7445.3600000,7426.7300000,7444.2600000,557262385
20200204,121500,7445.4900000,7454.3200000,7444.9000000,7451.9400000,475438669
20200204,123000,7449.0200000,7462.2300000,7447.6700000,7462.2300000,269874780
20200204,124500,7463.3800000,7469.4800000,7460.6000000,7463.6500000,483364305
20200204,130000,7465.4600000,7483.7700000,7463.9500000,7482.5300000,385638181
20200204,131500,7482.1000000,7494.2700000,7479.1100000,7494.2400000,315731153
20200204,133000,7492.1700000,7509.2700000,7490.2300000,7505.1900000,380328695
20200204,134500,7505.5300000,7505.7700000,7495.6200000,7499.3200000,546526533
20200204,140000,7500.2400000,7507.4800000,7495.6100000,7507.4800000,396040447
20200204,141500,7505.8900000,7516.8100000,7505.3500000,7513.6800000,316956616
20200204,143000,7513.9500000,7515.8100000,7506.5700000,7512.4200000,413812240
20200204,144500,7512.0900000,7512.0900000,7496.0800000,7498.8700000,418598890
20200204,150000,7498.4600000,7499.3600000,7485.5600000,7487.2000000,385423214
20200204,151500,7488.2700000,7491.4300000,7479.8900000,7491.4300000,533550245
20200204,153000,7491.6700000,7500.8500000,7487.4000000,7499.1600000,323677922
20200204,154500,7498.3200000,7502.5500000,7493.1700000,7494.8600000,443179674
20200204,160000,7494.4900000,7497.4600000,7491.1400000,7494.2300000,708344295
20200204,161500,7493.1300000,7498.9900000,7492.1700000,7498.9900000,643716387
20200204,163000,7498.8600000,7503.5500000,7492.8700000,7503.1000000,436156404
20200204,164500,7503.0300000,7506.9900000,7498.1900000,7500.3300000,444390628
20200204,170000,7500.7300000,7509.2500000,7500.3300000,7508.0700000,335250625
20200204,171500,7508.1100000,7511.4300000,7499.9300000,7500.8500000,408807863
20200204,173000,7500.8300000,7504.1000000,7489.3800000,7492.1600000,349887867
20200204,174500,7492.6600000,7495.0200000,7486.7400000,7494.8500000,412361213
20200204,180000,7494.4300000,7516.7300000,7494.1100000,7509.6200000,539504779
20200204,181500,7509.7900000,7509.7900000,7490.3000000,7493.5300000,567746368
20200204,183000,7491.1900000,7498.3000000,7488.8300000,7497.7500000,452200611
20200204,184500,7498.3800000,7505.5400000,7496.5300000,7501.7100000,484551624
20200204,190000,7505.9400000,7505.9400000,7505.9400000,7505.9400000,745696327
20200205,101500,7531.0200000,7549.9600000,7517.6300000,7526.4100000,844677177
20200205,103000,7526.8200000,7558.7800000,7526.8200000,7547.0500000,462250615
20200205,104500,7549.7500000,7555.6800000,7539.2900000,7547.6800000,267408098
20200205,110000,7547.8300000,7555.9800000,7537.1600000,7554.9400000,235051579
20200205,111500,7546.3200000,7550.9700000,7517.7600000,7530.4800000,707827024
20200205,113000,7532.0100000,7532.0100000,7514.5400000,7530.9600000,595510886
20200205,114500,7527.2000000,7546.1400000,7524.0500000,7545.8200000,1673300393
20200205,120000,7547.0200000,7548.2800000,7539.0300000,7547.1800000,940662060
20200205,121500,7547.4300000,7569.7600000,7543.3600000,7560.6200000,1185383879
20200205,123000,7558.1100000,7573.2300000,7558.1100000,7565.8800000,676490462
20200205,124500,7565.7300000,7580.8700000,7557.6100000,7576.4300000,642735890
20200205,130000,7575.3900000,7584.0600000,7572.3900000,7579.2400000,352164732
20200205,131500,7581.1600000,7597.8900000,7578.6400000,7595.0200000,310647859
20200205,133000,7594.0200000,7598.7300000,7582.0200000,7585.6100000,379829961
20200205,134500,7584.4500000,7590.3100000,7582.9200000,7589.2500000,147093607
20200205,140000,7589.2900000,7608.5100000,7587.5200000,7607.8100000,361203172
20200205,141500,7608.5500000,7613.1800000,7601.3400000,7611.4900000,484947787
20200205,143000,7612.9100000,7612.9100000,7604.2800000,7604.2800000,657888664
20200205,144500,7604.3700000,7605.4800000,7586.8000000,7596.8900000,440416575
20200205,150000,7595.5200000,7600.1500000,7588.9600000,7588.9600000,374200644
20200205,151500,7588.6300000,7596.2700000,7588.2800000,7592.1700000,202682501
20200205,153000,7592.9100000,7595.7500000,7590.3000000,7593.3200000,189293089
20200205,154500,7592.1700000,7593.7000000,7589.4100000,7592.8000000,188651993
20200205,160000,7591.8400000,7591.8400000,7584.2000000,7584.2000000,210056729
20200205,161500,7584.1700000,7586.6200000,7576.6300000,7579.2600000,356831100
20200205,163000,7577.3100000,7597.6000000,7577.3100000,7597.6000000,439185187
20200205,164500,7596.4100000,7608.2500000,7575.9600000,7584.0800000,411082522
20200205,170000,7583.2100000,7594.6000000,7580.1100000,7594.6000000,362328346
20200205,171500,7592.8300000,7593.8700000,7586.2700000,7587.4800000,163747926
20200205,173000,7588.2900000,7590.7800000,7582.8700000,7586.5300000,239607724
20200205,174500,7586.8600000,7607.1100000,7586.8600000,7594.9700000,571770006
20200205,180000,7593.4000000,7609.8100000,7593.4000000,7608.0700000,499567903
20200205,181500,7610.7000000,7614.2100000,7599.4200000,7601.6200000,564659643
20200205,183000,7602.7700000,7602.9500000,7578.9000000,7584.7000000,682042416
20200205,184500,7578.7900000,7584.1600000,7577.4600000,7577.4700000,388487031
20200205,190000,7577.6700000,7577.6700000,7577.6700000,7577.6700000,689935148
20200206,101500,7640.4200000,7659.1400000,7631.2900000,7645.9000000,898187246
20200206,103000,7647.5500000,7659.9700000,7633.2800000,7656.0600000,405994293
20200206,104500,7653.9700000,7653.9700000,7625.6100000,7649.6600000,459857000
20200206,110000,7649.8300000,7649.8300000,7631.4000000,7635.9000000,328847593
20200206,111500,7633.5200000,7664.4400000,7632.0800000,7639.8200000,1233260970
20200206,113000,7639.0400000,7640.8800000,7620.7300000,7630.7200000,494001766
20200206,114500,7630.5800000,7635.8200000,7621.9900000,7625.8300000,308397121
20200206,120000,7626.2600000,7633.1800000,7622.6700000,7626.1800000,355570562
20200206,121500,7625.4000000,7626.4500000,7612.9600000,7612.9600000,1047099961
20200206,123000,7612.8100000,7626.0300000,7609.4200000,7615.6000000,412149671
20200206,124500,7614.5300000,7622.8100000,7611.5100000,7620.4400000,309596241
20200206,130000,7620.4900000,7620.4900000,7606.7400000,7614.2100000,190462241
20200206,131500,7616.0300000,7616.0300000,7601.0000000,7604.3700000,160581533
20200206,133000,7603.5700000,7607.2100000,7597.6100000,7603.0800000,319902600
20200206,134500,7602.9500000,7604.1700000,7598.8400000,7601.6700000,179207329
20200206,140000,7600.7700000,7605.6500000,7586.8500000,7588.9400000,284970136
20200206,141500,7588.5200000,7592.1500000,7573.6600000,7574.7400000,448388883
20200206,143000,7576.3100000,7587.9200000,7571.2900000,7587.9200000,238488667
20200206,144500,7587.9900000,7597.3400000,7579.3700000,7582.3600000,227800987
20200206,150000,7583.9100000,7587.6400000,7573.7600000,7580.3600000,315465543
20200206,151500,7580.0400000,7584.2900000,7537.1900000,7553.2700000,306328208
20200206,153000,7554.9700000,7566.3700000,7548.4800000,7562.3100000,172484825
